Song_id,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Track URI,Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,No of times Songs Played
1,Beat It,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:1C2h7mLntPSeVYciMRTF4a,Thriller 25 Super Deluxe Edition,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,Michael Jackson,11/30/1982,https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be,1,5,258040,https://p.scdn.co/mp3-preview/838cb10d23856033fd7aea0d223f687d69f30fa4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,81,4680
2,Smooth Criminal - 2012 Remaster,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:24TAupSNVWSAHL0R7n71vm,Bad 25th Anniversary,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,Michael Jackson,8/31/1987,https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d,1,10,257760,https://p.scdn.co/mp3-preview/9935079cbd61d8c6e2d6a17054b0960d7148ff4f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,2055
3,Gimme More,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:1ePkYcH5ZQCb1b4tQeiEDj,Blackout,spotify:artist:26dSoYclwsYLMAKD3tpOr4,spotify:track:6ic8OlLUNEATToEFU3xmaH,Britney Spears,10/25/2007,https://i.scdn.co/image/ab67616d0000b273ca10fae7d292c52f7e8b11ca,1,1,251240,https://p.scdn.co/mp3-preview/759be80fb1378fd49f6c7ad48c3513c05c53a7d7?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,2397
4,Eye of the Tiger,spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor,spotify:album:3t3BbpFJiGcXl4jI5CRLLA,Rocky IV,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,spotify:track:2KH16WveTQWT6KOG9Rg6e2,Various Artists,6/7/1905,https://i.scdn.co/image/ab67616d0000b273f4a2ccbe20d6d52f16816812,1,4,245640,https://p.scdn.co/mp3-preview/07b02ca0686c68c6195c8707b6f5dbc2a4137a3a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,7647
5,Everybody Wants To Rule The World,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,spotify:album:3myPwaMYjdwhtq0nFgeG6W,Songs From The Big Chair (Super Deluxe Edition),spotify:artist:4bthk9UfsYUYdcFyqxmSUU,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,2/25/1985,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,1,3,251488,,FALSE,86,9455
6,Everybody Talks,spotify:artist:0RpddSzUHfncUWNJXKOsjy,Neon Trees,spotify:album:0uRFz92JmjwDbZbB7hEBIr,Picture Show,spotify:artist:0RpddSzUHfncUWNJXKOsjy,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,1/1/2012,https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2,1,3,177280,,FALSE,78,2635
7,Earned It (Fifty Shades Of Grey),spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:album:0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,spotify:track:4frLb7nWtsz2ymBE6k2GRP,The Weeknd,8/28/2015,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,1,9,277680,,TRUE,74,2554
8,In Da Club,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,spotify:album:5G5rgQHzdQnw32SI0WjIo5,Get Rich Or Die Tryin',spotify:artist:3q7HBObVc0L8jNeTe5Gofh,spotify:track:7iL6o9tox1zgHpKUfh9vuC,50 Cent,2/6/2003,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,1,5,193466,,TRUE,82,7498
9,Black and Yellow,spotify:artist:137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,spotify:album:6ZOXiVL8rmk2ATHJiFJhiD,Rolling Papers,spotify:artist:137W8MRPWKqSmrBGDBFSop,spotify:track:5A6OHHy73AR5tLxgTc98zz,Wiz Khalifa,3/29/2011,https://i.scdn.co/image/ab67616d0000b273fe3cf32b1320e8ded39d8c74,1,3,217666,https://p.scdn.co/mp3-preview/3decfce4478ccfe086bf10adeabf166e02457ce3?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,75,7111
10,Superman,"spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5jNmxPYz8QE5rYp4GDil8t","Eminem, Dina Rae",spotify:album:1ftvBBcu7jYIvXyt3JWB8S,The Eminem Show,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,spotify:track:5voKHxbIqgBU7fZMX8Lu0T,Eminem,5/26/2002,https://i.scdn.co/image/ab67616d0000b273ccdb1982626f299b3b1d3efd,1,13,350226,,TRUE,,4080
